entry_date,entry_minute,exit_date,exit_minute,entry_price,exit_price,position_size,pnl
20241009,32,20241009,33,6963.973646311813,6927.629403301776,0.9091572918232156,-0.0041927106340565404
20241009,39,20241009,40,6917.675247572913,6887.118304405237,0.8135390768959307,0.0
20241009,40,20241009,41,6887.118304405237,6889.433224342182,0.7044132451512715,0.0
20241009,44,20241009,45,6945.454286816253,6956.334410519895,-0.6990073364823726,0.0
20241009,45,20241009,46,6939.898478967585,6956.334410519895,-0.971252808943835,-0.0016554761963457779
20241009,56,20241009,57,6917.443755579217,6910.036011780993,0.6027856765525684,0.0
20241009,58,20241009,59,6894.989032190851,6887.118304405237,0.6227975843791569,0.0
20241009,61,20241009,62,6885.266368455682,6863.737613042093,0.5557490246396226,0.0
20241009,62,20241009,63,6878.321608644847,6847.0701894960885,0.5469368971647317,-0.0011783457931645804
20241009,63,20241009,64,6863.737613042093,6835.495589811363,0.6337256173021302,-0.001328143561411821
20241009,64,20241009,65,6847.533173483477,6835.958573798752,0.9033766161539657,-0.001114054499652147
20241009,66,20241009,67,6845.912729527616,6794.058522940046,0.9112096829603975,0.0
20241009,67,20241009,68,6820.217118227525,6774.381703476013,0.876777229688738,-0.003494898315610806
20241009,68,20241009,69,6792.901062971574,6775.307671450792,0.7977225894381579,-0.002390341411365219
20241009,73,20241009,74,6831.560225918555,6855.40390126909,-0.824486269355639,0.0
20241009,74,20241009,75,6830.865749937473,6854.9409172817,-0.9456718574093751,-0.0029617576437473603
20241009,75,20241009,76,6857.487329212341,6856.561361237563,-0.928761826503964,0.00035115924894531226
20241009,76,20241009,77,6854.709425288006,6855.866885256479,-0.990366172752176,-0.0002509234612825164
20241009,96,20241009,97,6763.501579772371,6762.575611797593,0.8620934593735585,0.0
20241009,98,20241009,99,6754.936376005675,6742.898792333561,0.824693281147187,0.0
20241009,106,20241009,107,6685.720269891017,6644.9776790007845,0.828133292801132,0.0
20241009,107,20241009,108,6673.682686218904,6672.756718244125,0.9986249650414845,-0.003561987176362081
20241009,108,20241009,109,6644.514695013396,6674.377162199986,0.9992590102172847,0.004244582299239077
20241009,110,20241009,111,6627.152795486308,6596.132868331244,0.8678154808658727,0.0
20241009,111,20241009,112,6595.90137633755,6597.521820293411,0.8106302718386816,3.0457146697958157e-05
20241009,115,20241009,116,6695.442933626187,6714.888261096525,-0.8802265338567602,0.0
20241009,117,20241009,118,6706.091565336134,6747.99161619484,-0.8748347836962697,0.0
20241009,118,20241009,119,6731.09270065514,6765.816499709316,-0.9377849278077761,-0.0021963386597596336
20241009,119,20241009,120,6748.454600182228,6840.588413672642,-0.9429210677881122,-0.0024126601806251056
20241009,120,20241009,121,6777.391099394041,6855.40390126909,-0.9263910234764339,-0.00879248049684603
20241009,121,20241009,122,6835.727081805057,6864.66358101687,-0.9253295155788437,-0.002666640827508363
20241009,122,20241009,123,6855.172409275396,6863.737613042093,-0.9616481643537873,-0.0012811437591170492
20241009,124,20241009,125,6871.8398328214,6892.211128266516,-0.8851856233372493,0.0
20241009,125,20241009,126,6918.8327075413845,6932.722227163055,-0.943205067995789,0.0034059270169895695
20241009,126,20241009,127,6894.294556209767,6932.722227163055,-0.9509159716100337,-0.005257270877956717
20241009,135,20241009,136,6860.728217124063,6862.811645067314,0.5553708170385898,0.0
20241009,145,20241009,146,6949.852634696448,6965.825582261369,-0.8459556103576159,0.0
20241009,153,20241009,154,7002.86430125249,7042.680924167946,-0.5537184762950189,0.0
20241009,154,20241009,155,7014.438900937215,7047.310764041836,-0.9451807797758585,-0.002229419956700842
20241009,155,20241009,156,7043.375400149028,7048.468224010308,-0.9834578468907986,-0.0005281033739627956
20241009,157,20241009,158,7041.754956193167,7074.858311291481,-0.8950251022344311,0.0
20241009,158,20241009,159,7071.154439392369,7076.710247241037,-0.9059306084637024,-0.00046881430091500354
20241009,164,20241009,165,7001.243857296628,6942.676382891918,0.8148361336157497,0.0
20241009,165,20241009,166,6962.121710362257,6942.21339890453,0.8670133447051859,-0.002275851545260921
20241009,172,20241009,173,6953.787998589255,6927.86089529547,0.7122537714090931,0.0
20241009,173,20241009,174,6928.555371276554,6927.86089529547,0.958996399809948,-7.139195837719848e-05
20241009,175,20241009,176,6923.23105542158,6891.748144279127,0.7278255199139098,0.0
20241009,176,20241009,177,6900.544840039519,6882.719956525041,0.771645186137389,-0.0009278194423406186
20241009,177,20241009,178,6891.285160291739,6885.034876461987,0.7815133313282557,-0.000959080650579036
20241009,183,20241009,184,6915.360327635967,6950.7786026712265,-0.7973585552202517,0.0
20241009,188,20241009,189,6862.117169086231,6834.569621836585,0.9467952038189948,0.0
20241009,189,20241009,190,6834.569621836585,6836.653049779836,0.9524951032465895,0.0
20241009,203,20241009,204,6820.911594208608,6787.113763129211,0.6406080855787185,0.0
20241009,212,20241009,213,6831.328733924862,6811.420422467134,0.7210160096840846,0.0
20241009,214,20241009,215,6808.6425185428,6762.807103791288,0.8124935103330013,0.0
20241009,215,20241009,216,6776.928115406653,6762.807103791288,0.9722449581795051,-0.0016929839156384096
20241009,217,20241009,218,6775.539163444486,6732.250160623613,0.9249634683389504,0.0
20241009,218,20241009,219,6742.204316352477,6734.333588566863,0.9116838622924717,-0.0013656113008953192
20241009,225,20241009,226,6698.915313531605,6659.098690616149,0.8822505800464149,0.0
20241009,226,20241009,227,6678.544018086488,6659.793166597233,0.9610902978096145,-0.0025687711862704553
20241009,228,20241009,229,6676.460590143237,6639.884855139506,0.9274824828367049,0.0
20241010,13,20241010,14,6790.817635028323,6807.022074586938,-0.9597854296359231,0.0
20241010,17,20241010,18,6740.120888409226,6724.147940844305,0.7370975289015002,0.0
20241010,18,20241010,19,6742.435808346171,6730.629716667751,0.9329415041636947,-0.0019992688588621865
20241010,19,20241010,20,6723.91644885061,6700.535757487466,0.8999827352702924,0.0009314640095278445
20241010,20,20241010,21,6730.166732680363,6682.942365966684,0.9864528217785056,-0.0039623633651359085
20241010,21,20241010,22,6696.600393594659,6661.1821185594,0.9999315550429723,-0.0020119163607898653
20241010,22,20241010,23,6683.405349954072,6627.615779473696,0.961735925370215,-0.0033249083607815562
20241010,23,20241010,24,6661.1821185594,6641.736791089061,0.9760285484617403,-0.004846280075714413
20241010,24,20241010,25,6627.847271467391,6598.679280261883,0.9766728090393543,0.002045395302563841
20241010,25,20241010,26,6640.579331120589,6605.16105608533,0.9774871277660783,-0.006162510577847241
20241010,40,20241010,41,6602.846136148385,6573.909636936572,0.7473704856655321,0.0
20241010,41,20241010,42,6582.011856715879,6551.2234215545095,0.9362105277847679,-0.0009199861779725013
20241010,42,20241010,43,6572.289192980709,6551.2234215545095,0.8907474763192172,-0.0030007804595967784
20241010,45,20241010,46,6560.4831013022895,6516.731114494028,0.8340957122391925,0.0
20241010,46,20241010,47,6522.749906330085,6519.972002405752,0.8337255038431828,-0.0007696521460133505
20241010,51,20241010,52,6563.261005226624,6616.735655770055,-0.9156808153399394,0.0
20241010,52,20241010,53,6594.049440387993,6619.282067700695,-0.8944098863927104,-0.0031503148991861452
20241010,60,20241010,61,6598.910772255577,6629.467715423253,-0.78608042064143,0.0
20241010,61,20241010,62,6616.041179788971,6628.078763461085,-0.8423521510404154,-0.0015952646744997667
20241010,63,20241010,64,6620.439527669167,6658.867198622454,-0.7174926935753387,0.0
20241010,64,20241010,65,6653.079898780092,6656.089294698121,-0.9031090941674607,-0.0006241237765964439
20241010,73,20241010,74,6632.014127353892,6618.819083713305,0.9054073771994611,0.0
20241010,82,20241010,83,6645.209170994479,6701.924709449632,-0.6589421959476457,0.0
20241010,83,20241010,84,6682.016397991905,6703.545153405495,-0.6768480755975953,-0.001963243680980343
20241010,86,20241010,87,6707.480517298301,6710.258421222635,-0.8753129311796907,0.0
20241010,88,20241010,89,6710.02692922894,6736.18552451642,-0.9713437258759252,0.0
20241010,95,20241010,96,6727.157336762334,6732.250160623613,-0.5771375793946969,0.0
20241010,98,20241010,99,6737.111492491198,6765.122023728233,-0.7167684114707089,0.0
20241010,99,20241010,100,6751.9269800876455,6780.863479299459,-0.7234529226744342,-0.001400754258368511
20241010,100,20241010,101,6767.668435658872,6791.743603003101,-0.741720953713368,-0.0014105290436956218
20241010,101,20241010,102,6778.5485593625135,6789.66017505985,-0.9649983026311157,-0.0014438253658104914
20241010,102,20241010,103,6791.280619015712,6789.66017505985,-0.9882121013122818,0.00023025490399216942
20241010,108,20241010,109,6817.439214303191,6851.700029369978,-0.8644316590958774,0.0
20241010,109,20241010,110,6838.736477723085,6855.40390126909,-0.7723790280329577,-0.00163862206043516
20241010,110,20241010,111,6851.931521363673,6855.40390126909,-0.9057800470701002,-0.00039142151493266723
20241010,114,20241010,115,6786.419287148127,6762.344119803898,0.8083088244928951,0.0
20241010,126,20241010,127,6773.687227494929,6729.240764705584,0.7423201327797344,0.0
20241010,127,20241010,128,6739.657904421837,6729.240764705584,0.7373243406023278,-0.0011473657338424328
20241010,129,20241010,130,6725.073908819083,6712.804833153275,0.9684336537077401,0.0
20241010,130,20241010,131,6714.888261096525,6713.962293121747,0.9250573174520469,-0.0003004758466359479
20241010,132,20241010,133,6721.601528913666,6697.294869575742,0.6970812073224675,0.0
20241010,133,20241010,134,6697.294869575742,6695.905917613575,0.6782384484594801,0.0
20241010,148,20241010,149,6705.39708935505,6707.943501285689,-0.6111189257507159,0.0
20241010,166,20241010,167,6738.500444453365,6747.99161619484,-0.8717778609546454,0.0
20241010,173,20241010,174,6706.554549323522,6673.451194225209,0.8214497477854623,0.0
20241010,174,20241010,175,6688.266681821657,6652.153930805313,0.897180174836862,-0.0018196311732751294
20241010,175,20241010,176,6673.451194225209,6644.051711026006,0.8480990768849077,-0.0028632085501941883
20241010,176,20241010,177,6652.153930805313,6643.820219032312,0.915496450276819,-0.001032971453611146
20241010,195,20241010,196,6634.560539284532,6612.568799883554,0.7518790240868933,0.0
20241010,196,20241010,197,6621.596987637639,6604.69807209794,0.7570447310240507,-0.0010251462012092548
20241010,197,20241010,198,6612.568799883554,6586.410204596074,0.8750984210303858,-0.0009010859742629289
20241010,198,20241010,199,6605.16105608533,6580.159920766323,0.9909538736198225,-0.0024842453335948552
20241010,199,20241010,200,6584.789760640213,6583.169316684352,0.9876507357556741,-0.0006967508339741558
20241010,213,20241010,214,6639.884855139506,6641.505299095366,-0.929883711935395,0.0
20241010,220,20241010,221,6590.114076495187,6571.594716999626,0.902949053063698,0.0
20241011,14,20241011,15,6493.350423130883,6476.451507591184,-0.6618729767668166,0.0
20241011,22,20241011,23,6426.449236953171,6419.73596913603,0.8835298362716795,0.0
20241011,24,20241011,25,6416.9580652116965,6406.540925495444,0.8862812406990155,0.0
20241011,25,20241011,26,6398.207213722441,6407.466893470222,0.8645295525476456,0.0011543878094419314
20241011,27,20241011,28,6393.114389861162,6388.253057993577,0.8636367019547981,0.0
20241011,31,20241011,32,6360.705510743931,6357.464622832209,0.5433053573359854,0.0
20241011,43,20241011,44,6310.934732099612,6301.443560358138,0.898479957416481,0.0
20241011,54,20241011,55,6365.566842611516,6378.993378245797,-0.8334099925026406,0.0
20241011,59,20241011,60,6357.001638844819,6354.686718907874,0.8547146401984345,0.0
20241011,63,20241011,64,6387.558582012494,6388.253057993577,-0.7162855413843846,0.0
20241011,67,20241011,68,6360.474018750237,6339.871231311426,0.7765211410418962,0.0
20241011,68,20241011,69,6349.593895046595,6340.334215298815,0.9527535798881915,-0.0011890294186357976
20241011,72,20241011,73,6326.907679664533,6316.259047954586,0.8355445558177833,0.0
20241011,77,20241011,78,6376.909950302546,6366.492810586294,-0.7775348716756303,0.0
20241011,83,20241011,84,6410.013305400861,6407.235401476528,-0.7732949049446894,0.0
20241011,89,20241011,90,6422.050889072975,6438.255328631591,-0.8677648693950653,0.0
20241011,100,20241011,101,6391.0309619179125,6383.854710113382,0.9675470377217468,0.0
20241011,105,20241011,106,6410.013305400861,6414.874637268445,-0.945709102812418,0.0
20241011,115,20241011,116,6403.30003758372,6375.520998340379,0.9521917319681544,0.0
20241011,116,20241011,117,6381.308298182742,6372.97458640974,0.9593592995965764,-0.0008635563120947571
20241011,124,20241011,125,6356.307162863736,6335.93586741862,0.8079884366963979,0.0
20241011,138,20241011,139,6378.993378245797,6382.928742138604,-0.537514923105699,0.0
20241011,143,20241011,144,6418.810001161252,6420.430445117114,-0.6199776022579291,0.0
20241011,148,20241011,149,6386.86410603141,6388.947533974661,0.9499075890581073,0.0
20241011,150,20241011,151,6376.446966315158,6378.761886252103,0.9605994801267517,0.0
20241011,152,20241011,153,6373.900554384519,6353.529258939401,0.882218182264858,0.0
20241011,153,20241011,154,6361.168494731321,6353.760750933096,0.9099147028554719,-0.0010594708691998886
20241011,156,20241011,157,6354.223734920485,6351.677322989846,0.7801553404746285,0.0
20241011,165,20241011,166,6327.833647639312,6323.2038077654215,0.8780956697067157,0.0
20241011,168,20241011,169,6317.879491910448,6293.804324566219,0.8393779238403309,0.0
20241011,169,20241011,170,6306.304892225722,6294.035816559914,0.8842639170931198,-0.0016638428855214754
20241011,186,20241011,187,6255.145161619236,6260.469477474211,0.6740033299524881,0.0
20241011,188,20241011,189,6247.968909814707,6250.283829751652,0.9104137947343365,0.0
20241011,211,20241011,212,6253.293225669681,6218.106442628116,0.7335812886662597,0.0
20241011,212,20241011,213,6232.921930224565,6211.624666804671,0.7497328659735994,-0.001743702970274516
20241011,213,20241011,214,6218.8009186092,6213.013618766837,0.6774076375997039,-0.0008651622559999361
20241011,225,20241011,226,6224.356726457868,6266.025285322879,-0.7200529450695932,0.0
20241011,226,20241011,227,6250.283829751652,6265.56230133549,-0.7174960156884195,-0.001813466676471777
20241011,228,20241011,229,6261.858429436377,6280.840772919327,-0.9646058235286964,0.0
20241014,7,20241014,8,6308.156828175279,6336.630343399704,-0.9050700228519724,0.0
20241014,8,20241014,9,6334.778407450147,6335.009899443841,-0.9971088619489155,-0.00026459200375737713
20241014,13,20241014,14,6302.6010203266105,6302.6010203266105,0.8451416118539252,0.0
20241014,20,20241014,21,6279.220328963465,6276.442425039132,0.915172091278079,0.0
20241014,26,20241014,27,6244.496529909289,6227.829106363286,0.7646724707409718,0.0
20241014,27,20241014,28,6240.329674022788,6228.06059835698,0.8940818419201577,-0.0015317844500503874
20241014,41,20241014,42,6219.032410602894,6226.208662407424,-0.9294827115654859,0.0
20241014,44,20241014,45,6221.578822533534,6261.858429436377,-0.7682158140252446,0.0
20241014,45,20241014,46,6251.441289720125,6263.01588940485,-0.7728824955323536,-0.0012801226302957978
20241014,61,20241014,62,6242.876085953429,6253.987701650764,-0.9267075358518542,0.0
20241014,62,20241014,63,6248.663385795791,6254.913669625543,-0.9812976238242477,-0.0007896222474192923
20241014,77,20241014,78,6287.554040736468,6288.248516717551,-0.9322729795962564,0.0
20241014,83,20241014,84,6317.416507923059,6356.307162863736,-0.8811457144802304,0.0
20241014,84,20241014,85,6324.824251721283,6354.45522691418,-0.8491878339772932,-0.004386055822023004
20241014,85,20241014,86,6352.140306977235,6354.223734920485,-0.7843400302692576,-0.00030947078497715815
20241014,110,20241014,111,6362.094462706099,6369.039222516934,-0.6445857194069509,0.0
20241014,112,20241014,113,6360.011034762848,6393.345881854857,-0.9276138885263177,0.0
20241014,113,20241014,114,6376.215474321463,6397.049753753969,-0.9149880001573641,-0.0024921372259275464
20241014,114,20241014,115,6393.345881854857,6396.586769766579,-0.8546445779663159,-0.0005300821204474808
20241014,117,20241014,118,6397.049753753969,6423.671333028838,-0.7148938886352852,0.0
20241014,118,20241014,119,6412.791209325194,6433.625488757701,-0.7990124735674807,-0.0012129092760762253
20241014,119,20241014,120,6423.208349041448,6440.80174056223,-0.7409236162246292,-0.0012958359934600585
20241014,130,20241014,131,6436.634884675729,6421.5879050855865,0.6715301236430682,0.0
20241014,131,20241014,132,6415.800605243224,6423.671333028838,0.5627736702319271,0.0006057460974590685
20241014,135,20241014,136,6444.505612461343,6461.636019994737,-0.713815542889664,0.0
20241014,136,20241014,137,6460.710052019958,6460.247068032569,-0.9347904627348687,-0.00010230614395217858
20241014,143,20241014,144,6502.147118891275,6505.850990790386,-0.9264401642199414,0.0
20241014,152,20241014,153,6478.071951547046,6469.738239774044,0.6587827822869947,0.0
20241014,174,20241014,175,6467.886303824487,6477.840459553352,-0.9570655291317507,0.0
20241014,175,20241014,176,6468.580779805571,6477.377475565962,-0.9740864554674721,-0.001370025450569754
20241014,185,20241014,186,6449.829928316316,6452.8393242343445,0.799751154511821,0.0
20241014,192,20241014,193,6436.866376669424,6434.782948726172,0.7972555861235818,0.0
